tgl_waktu,flag,pm25,pm10
12/01/2016 01:00:00+0700,N,18.9,63.5
12/01/2016 04:00:00+0700,N,12.9,53.7
12/01/2016 07:00:00+0700,N,21,71.1
12/01/2016 10:00:00+0700,N,10.1,50.2
12/01/2016 13:00:00+0700,N,11.4,50.8
12/01/2016 16:00:00+0700,N,11.6,53.2
12/01/2016 19:00:00+0700,N,10.8,56.3
12/01/2016 22:00:00+0700,N,7.6,49.5
12/02/2016 01:00:00+0700,N,6.6,46.2
12/02/2016 04:00:00+0700,N,5.1,43.2
12/02/2016 07:00:00+0700,N,8.1,46.3
12/02/2016 10:00:00+0700,N,8.4,47.6
12/02/2016 13:00:00+0700,N,8.5,47
12/02/2016 16:00:00+0700,N,7.3,44.3
12/02/2016 19:00:00+0700,N,5.1,39.4
12/02/2016 22:00:00+0700,N,4.9,41
12/03/2016 01:00:00+0700,N,5.9,41.9
12/03/2016 04:00:00+0700,N,4.7,42.4
12/03/2016 07:00:00+0700,N,7.1,46.9
12/03/2016 10:00:00+0700,N,11,50.8
12/03/2016 13:00:00+0700,N,9.1,47.3
12/03/2016 16:00:00+0700,N,8.3,46.3
12/03/2016 19:00:00+0700,N,8.5,48.2
12/03/2016 22:00:00+0700,N,7.1,42.9
12/04/2016 01:00:00+0700,N,3,36.6
12/04/2016 04:00:00+0700,N,5.5,41.6
12/04/2016 07:00:00+0700,N,11.2,53.6
12/04/2016 10:00:00+0700,N,16.3,58.9
12/04/2016 13:00:00+0700,N,9.9,48.1
12/04/2016 16:00:00+0700,N,8.5,44.8
12/04/2016 19:00:00+0700,N,7.3,48
12/04/2016 22:00:00+0700,N,6.6,44.9
12/05/2016 01:00:00+0700,N,5.7,45.6
12/05/2016 04:00:00+0700,N,17.8,63.2
12/05/2016 07:00:00+0700,N,11.4,56.1
12/05/2016 10:00:00+0700,N,15.1,54.5
12/05/2016 13:00:00+0700,N,9.2,49.4
12/05/2016 16:00:00+0700,N,5.9,44.1
12/05/2016 19:00:00+0700,N,8.6,48.6
12/05/2016 22:00:00+0700,N,9.4,50.1
12/06/2016 01:00:00+0700,N,8.5,48.4
12/06/2016 04:00:00+0700,N,6.8,45.3
12/06/2016 07:00:00+0700,N,9.6,53.7
12/06/2016 10:00:00+0700,N,13.4,52
12/06/2016 13:00:00+0700,N,20.9,64.8
12/06/2016 16:00:00+0700,N,30.9,76.4
12/06/2016 19:00:00+0700,N,10.4,50.2
12/06/2016 22:00:00+0700,N,8.2,47.4
12/07/2016 01:00:00+0700,N,7.2,45.8
12/07/2016 04:00:00+0700,N,7.2,46.3
12/07/2016 07:00:00+0700,N,11.6,57.7
12/07/2016 10:00:00+0700,N,23,67.2
12/07/2016 13:00:00+0700,N,15.6,54.2
12/07/2016 16:00:00+0700,N,10.7,51.2
12/07/2016 19:00:00+0700,N,20.6,77.6
12/07/2016 22:00:00+0700,N,13.2,58.7
12/08/2016 01:00:00+0700,N,9,51.2
12/08/2016 04:00:00+0700,N,6.3,47
12/08/2016 07:00:00+0700,N,9.6,52
12/08/2016 10:00:00+0700,N,11.8,49.8
12/08/2016 13:00:00+0700,N,17.1,53.7
12/08/2016 16:00:00+0700,N,24.1,66.7
12/08/2016 19:00:00+0700,N,16.6,60.2
12/08/2016 22:00:00+0700,N,13.6,56.5
12/09/2016 01:00:00+0700,N,5.9,45
12/09/2016 04:00:00+0700,N,5.2,43.2
12/09/2016 07:00:00+0700,N,9.3,53
12/09/2016 10:00:00+0700,N,18,57.1
12/09/2016 13:00:00+0700,N,9.1,44.5
12/09/2016 16:00:00+0700,N,9.6,45.2
12/09/2016 19:00:00+0700,N,17.4,57.1
12/09/2016 22:00:00+0700,N,13.4,56.7
12/10/2016 01:00:00+0700,N,9.2,50.8
12/10/2016 04:00:00+0700,N,7.3,47.4
12/10/2016 07:00:00+0700,N,9.7,52.8
12/10/2016 10:00:00+0700,N,14.4,53.5
12/10/2016 13:00:00+0700,N,17.4,55.2
12/10/2016 16:00:00+0700,N,13.6,54.2
12/10/2016 19:00:00+0700,N,6.8,48.7
12/10/2016 22:00:00+0700,N,6.7,45.6
12/11/2016 01:00:00+0700,N,5,45.7
12/11/2016 04:00:00+0700,N,6,47.5
12/11/2016 07:00:00+0700,N,9.8,54.8
